mask_x,mask_y,world_x_min,world_z_min,world_x_max_exclusive,world_z_max_exclusive,previous_rgba,proposed_tile_id,biome,distance_squared,equal_nearest,tie,original_neighbor_ids,geometry,width_cells,rationale
667,453,-18304,-35456,-18176,-35328,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
668,453,-18176,-35456,-18048,-35328,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
669,453,-18048,-35456,-17920,-35328,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
668,454,-18176,-35328,-18048,-35200,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
669,454,-18048,-35328,-17920,-35200,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
668,455,-18176,-35200,-18048,-35072,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
669,455,-18048,-35200,-17920,-35072,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
670,455,-17920,-35200,-17792,-35072,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
670,456,-17920,-35072,-17792,-34944,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
671,456,-17792,-35072,-17664,-34944,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
670,457,-17920,-34944,-17792,-34816,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
671,457,-17792,-34944,-17664,-34816,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
672,457,-17664,-34944,-17536,-34816,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
673,457,-17536,-34944,-17408,-34816,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
672,458,-17664,-34816,-17536,-34688,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
673,458,-17536,-34816,-17408,-34688,0/0/0/0,T030,forodwaith,2,T030|T033,True,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
674,458,-17408,-34816,-17280,-34688,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
673,459,-17536,-34688,-17408,-34560,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
674,459,-17408,-34688,-17280,-34560,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
675,459,-17280,-34688,-17152,-34560,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
675,460,-17280,-34560,-17152,-34432,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
676,460,-17152,-34560,-17024,-34432,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
677,460,-17024,-34560,-16896,-34432,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
678,460,-16896,-34560,-16768,-34432,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
679,460,-16768,-34560,-16640,-34432,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
680,460,-16640,-34560,-16512,-34432,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
681,460,-16512,-34560,-16384,-34432,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D+D-HV,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
688,460,-15616,-34560,-15488,-34432,0/0/0/0,T030,forodwaith,1,T030,False,T030|T033,D-,3,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
676,461,-17152,-34432,-17024,-34304,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
677,461,-17024,-34432,-16896,-34304,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
678,461,-16896,-34432,-16768,-34304,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
679,461,-16768,-34432,-16640,-34304,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
680,461,-16640,-34432,-16512,-34304,0/0/0/0,T033,tundra,1,T033,False,T030|T033,D+D-V,2,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
681,461,-16512,-34432,-16384,-34304,0/0/0/0,T033,forodwaith,1,T033,False,T030|T033,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
682,461,-16384,-34432,-16256,-34304,0/0/0/0,T030,forodwaith,1,T030|T033,True,T030|T033,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
683,461,-16256,-34432,-16128,-34304,0/0/0/0,T030,forodwaith,1,T030|T033,True,T030|T033,D+D-V,1,bounded original-territory seam; exact original nearest distance; coherent tie run if needed
