mask_x,mask_y,world_x_min,world_z_min,world_x_max_exclusive,world_z_max_exclusive,previous_rgba,proposed_tile_id,support,width_cells,biome,rationale,prior_nearest_distance_squared,prior_nearest_ties,previous_proposal,patch,category
654,480,-19968,-32000,-19840,-31872,0/0/0/0,T033,V,7,blueMountainsFoothills,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
652,481,-20224,-31872,-20096,-31744,0/0/0/0,T033,D+,3,blueMountainsFoothills,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
654,481,-19968,-31872,-19840,-31744,0/0/0/0,T033,V,7,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
650,482,-20480,-31744,-20352,-31616,0/0/0/0,T033,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
651,482,-20352,-31744,-20224,-31616,0/0/0/0,T033,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
652,482,-20224,-31744,-20096,-31616,0/0/0/0,T033,D+,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",2,,T033,1,ordinary_land
653,482,-20096,-31744,-19968,-31616,0/0/0/0,T033,D+,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,1,ordinary_land
654,482,-19968,-31744,-19840,-31616,0/0/0/0,T033,D-+V,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
651,483,-20352,-31616,-20224,-31488,0/0/0/0,T033,D+,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
652,483,-20224,-31616,-20096,-31488,0/0/0/0,T033,D+,4,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,1,ordinary_land
653,483,-20096,-31616,-19968,-31488,0/0/0/0,T033,D++D-,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",4,,T033,1,ordinary_land
654,483,-19968,-31616,-19840,-31488,0/0/0/0,T033,D++D-+V,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
650,484,-20480,-31488,-20352,-31360,0/0/0/0,T033,D++H,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",1,,T033,1,ordinary_land
651,484,-20352,-31488,-20224,-31360,0/0/0/0,T033,D++H,3,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",2,,T033,1,ordinary_land
652,484,-20224,-31488,-20096,-31360,0/0/0/0,T033,D++D-+H,5,blueMountains,"transition demonstrably crosses existing tile interiors, not the tile boundary",5,,T033,1,ordinary_land
