tile	baseline_x	baseline_z	baseline_center_in_baseline	baseline_center_in_v2	v2_x	v2_z	v2_center_in_baseline	v2_center_in_v2	automatic_waypoint
T042	-26611.912832929782	-25842.05326876513	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	-26826.24532224532	-25830.453222453216	RESOLVED:T042	RESOLVED:T042	MOUNT_RERIR
T062	76471.4043145442	-18759.408025980054	RESOLVED:T074	RESOLVED:T074	76747.64774951077	-18732.28093063709	RESOLVED:T074	RESOLVED:T074	SCATHA
T168	-15555.197715917195	702.9493219129217	IN_BOUNDS_GAP:	RESOLVED:T168	-15479.169428474808	747.5251944538322	IN_BOUNDS_GAP:	RESOLVED:T181	MITHLOND_SOUTH
T242	93030.3534187137	19500.709076912317	RESOLVED:T235	RESOLVED:T235	93001.47604265081	19467.773788635444	RESOLVED:T235	RESOLVED:T235	
T290	145577.86184909672	36258.27842720511	IN_BOUNDS_GAP:	RESOLVED:T290	145568.69277548042	36260.304548771586	IN_BOUNDS_GAP:	RESOLVED:T290	
T312	138607.92426633008	42128.92395077311	RESOLVED:T290	RESOLVED:T290	138697.54468209785	42115.45033694696	RESOLVED:T290	RESOLVED:T290	RHUN_SOUTH_PASS
T395	133901.22479649342	67962.10895428929	RESOLVED:T382	RESOLVED:T382	133895.55993051533	67924.9751013318	RESOLVED:T382	RESOLVED:T382	
T397	17655.79209039548	68897.57288135594	RESOLVED:T390	RESOLVED:T390	17632.765119549935	68922.04106891702	RESOLVED:T390	RESOLVED:T390	
T423	93781.65537555228	75467.49926362297	IN_BOUNDS_GAP:	RESOLVED:T417	93901.63971631206	75397.99148936171	IN_BOUNDS_GAP:	RESOLVED:T417	MORIGOST
T447	145578.88158256246	99057.34664346551	RESOLVED:T437	RESOLVED:T437	145521.07152619594	99059.88227790434	RESOLVED:T437	RESOLVED:T437	
T503	45853.32392612574	150927.37912429965	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	45876.99594484997	150995.8799675588	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	SOUTH_DESERT_TOWN
T508	157049.22908548213	173869.81510654173	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	157022.41097248616	173850.86276129883	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	GULF_EAST_BAY
T542	7218.823529411762	210948.23529411765	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	7340.038585208997	210852.63022508041	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	MOUNT_GREEN
T567	140190.55639097744	243473.7109440267	RESOLVED:T564	RESOLVED:T564	140181.88827857806	243428.14219090063	RESOLVED:T564	RESOLVED:T564	BLOOD_RIVER
T573	131283.97518772446	250076.50016323867	RESOLVED:T569	RESOLVED:T569	131324.19549563352	249798.0891680711	RESOLVED:T569	RESOLVED:T569	
T585	51473.25950314276	265271.4564501646	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	51480.50785302068	265297.85492000874	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	JUNGLE_CITY_STONE
T634	319.5516224188759	351333.67158308753	IN_BOUNDS_GAP:	RESOLVED:T634	439.9322636035213	351422.30611640716	RESOLVED:T634	RESOLVED:T634	
T638	-1450.666666666686	358997.3333333333	IN_BOUNDS_GAP:	RESOLVED:T638	-1408.0	358976.0	RESOLVED:T638	RESOLVED:T638	
T655	76765.02405745062	169917.74027528428	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	76771.94081145583	169906.74176610977	IN_BOUNDS_GAP:	IN_BOUNDS_GAP:	DESERT_RIVER_TOWN
