waypoint	hidden	map_x	map_y	world_x	world_z	baseline_tile	v2_tile
HIMLING	false	485.0	523.0	-41536	-26432	T039	T039
TOL_FUIN	false	357.0	542.0	-57920	-24000	T047	T047
TOL_MORWEN	false	87.0	698.0	-92480	-4032	T129	T129
MENELTARMA_SUMMIT	true	64.0	1733.0	-95424	128448		
HOBBITON	false	815.0	727.0	704	-320	T150	T150
BRANDYWINE_BRIDGE	false	853.0	725.0	5568	-576	T145	T145
SARN_FORD	false	883.0	802.0	9408	9280	T196	T196
LONGBOTTOM	false	820.0	765.0	1344	4544	T189	T189
MICHEL_DELVING	false	796.0	739.0	-1728	1216	T179	T179
WILLOWBOTTOM	false	845.0	752.0	4544	2880	T182	T182
BUCKLEBURY	false	857.0	734.0	6080	576	T166	T166
WHITFURROWS	false	843.0	727.0	4288	-320	T152	T152
FROGMORTON	false	831.0	728.0	2752	-192	T167	T167
OATBARTON	false	822.0	701.0	1600	-3648	T126	T126
SCARY	false	840.0	713.0	3904	-2112	T140	T140
NEEDLEHOLE	false	806.0	708.0	-448	-2752	T131	T131
LITTLE_DELVING	false	785.0	718.0	-3136	-1472	T148	T148
WAYMEET	false	807.0	733.0	-320	448	T160	T160
TUCKBOROUGH	false	815.0	741.0	704	1472	T175	T175
NOBOTTLE	false	797.0	710.0	-1600	-2496	T134	T134
TIGHFIELD	false	778.0	712.0	-4032	-2240	T135	T135
BROCKENBORINGS	false	833.0	710.0	3008	-2496	T139	T139
DEEPHALLOW	false	850.0	749.0	5184	2496	T178	T178
STOCK	false	849.0	737.0	5056	960	T169	T169
BYWATER	false	820.0	730.0	1344	64	T158	T158
OVERHILL	false	817.0	720.0	960	-1216	T146	T146
HAYSEND	false	858.0	747.0	6208	2240	T177	T177
HAY_GATE	false	856.0	728.0	5952	-192	T143	T143
GREENHOLM	false	762.0	745.0	-6080	1984	T180	T180
WITHYWINDLE_VALLEY	false	881.0	749.0	9152	2496	T170	T170
FORLOND	false	526.0	718.0	-36288	-1472	T161	T161
HARLOND	false	605.0	783.0	-26176	6848	T206	T206
MITHLOND_NORTH	false	669.0	717.0	-17984	-1600	T101	T101
MITHLOND_SOUTH	false	679.0	729.0	-16704	-64	T168	T168
FORLINDON	false	532.0	638.0	-35520	-11712	T076	T076
HARLINDON	false	611.0	878.0	-25408	19008	T245	T245
TOWER_HILLS	false	710.0	742.0	-12736	1600	T181	T181
AMON_EREB	false	500.0	708.0	-39616	-2752	T121	T121
BELEGOST	false	622.0	600.0	-24000	-16576	T070	T070
NOGROD	false	626.0	636.0	-23488	-11968	T096	T096
MOUNT_RERIR	false	592.0	525.0	-27840	-26176	T042	T042
MOUNT_DOLMED	false	599.0	627.0	-26944	-13120	T089	T089
THORIN_HALLS	false	641.0	671.0	-21568	-7488	T108	T108
ARVEDUI_MINES	false	663.0	489.0	-18752	-30784	T035	T035
THRAIN_HALLS	false	669.0	793.0	-17984	8128	T202	T202
NORTH_DOWNS	false	930.0	626.0	15424	-13248	T078	T078
SOUTH_DOWNS	false	960.0	768.0	19264	4928	T187	T187
ERYN_VORN	false	747.0	957.0	-8000	29120	T274	T274
THARBAD	false	979.0	878.0	21696	19008	T229	T229
FORNOST	false	897.0	652.0	11200	-9920	T116	T116
ANNUMINAS	false	814.0	661.0	576	-8768	T109	T109
GREENWAY_CROSSROADS	false	920.0	810.0	14144	10304	T204	T204
BREE	false	915.0	734.0	13504	576	T164	T164
STADDLE	false	924.0	734.0	14656	576	T173	T173
COMBE	false	927.0	731.0	15040	192	T157	T157
ARCHET	false	928.0	728.0	15168	-192	T144	T144
FORSAKEN_INN	false	950.0	743.0	17984	1728	T171	T171
WEATHERTOP	false	998.0	723.0	24128	-832	T132	T132
LAST_BRIDGE	false	1088.0	714.0	35648	-1984	T142	T142
OLD_ELF_WAY	false	1028.0	847.0	27968	15040	T217	T217
RIVENDELL	false	1173.0	721.0	46528	-1088	T141	T141
FORD_BRUINEN	false	1163.0	723.0	45248	-832	T147	T147
