mask_x,mask_y,world_x_min,world_z_min,world_x_max_exclusive,world_z_max_exclusive,previous_rgba,proposed_rgba,from_tile,to_tile,segment,biome,rationale
681,461,-16512,-34432,-16384,-34304,0/0/33/255,0/0/30/255,T033,T030,S0001,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
918,475,13824,-32640,13952,-32512,0/0/37/255,0/0/34/255,T037,T034,S0002,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
879,477,8832,-32384,8960,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
880,477,8960,-32384,9088,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
881,477,9088,-32384,9216,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
882,477,9216,-32384,9344,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
883,477,9344,-32384,9472,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
884,477,9472,-32384,9600,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
885,477,9600,-32384,9728,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
886,477,9728,-32384,9856,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
887,477,9856,-32384,9984,-32256,0/0/37/255,0/0/34/255,T037,T034,S0003,forodwaith,consistent pre-V2 opposite-side territory witnesses on the same local biome transition; two shifted contexts agree; cumulative topology preserved
