mask_x,mask_y,world_x_min,world_x_max_exclusive,world_z_min,world_z_max_exclusive,previous_tile,previous_rgba,proposed_tile_id,proposed_rgba,distance_squared_T149,distance_squared_T132,original_witness_T149,original_witness_T132,equal_distance_tie,needs_human_approval,background_name,rationale
956,706,18688,18816,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"956,708","956,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
957,706,18816,18944,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"957,708","957,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
958,706,18944,19072,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"958,708","958,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
959,706,19072,19200,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"959,708","959,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
960,706,19200,19328,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"960,708","960,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
961,706,19328,19456,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"961,708","961,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
962,706,19456,19584,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"962,708","962,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
963,706,19584,19712,-3072,-2944,GAP,"0,0,0,0",T132,"0,0,132,255",4,1,"963,708","963,705",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
954,707,18432,18560,-2944,-2816,GAP,"0,0,0,0",T132,"0,0,132,255",2,1,"955,708","954,706",False,True,loneLands,Closer to ORIGINAL T132 cell centers; bounded reviewed land-only seam; no filled cell used as source
955,707,18560,18688,-2944,-2816,GAP,"0,0,0,0",T149,"0,0,149,255",1,1,"955,708","955,706",True,True,loneLands,"Equal exact squared distance; provisional T149 tie preference, explicitly subject to review"
