faction_id,waypoint_key,dimension,expected_tile_id
hobbit,MICHEL_DELVING,middle_earth,T179
bree,BREE,middle_earth,T164
dunedain,FORNOST,middle_earth,T116
bluemountains,THORIN_HALLS,middle_earth,T108
highelves,MITHLOND_NORTH,middle_earth,T101
gundabad,MOUNT_GUNDABAD,middle_earth,T068
angmar,CARN_DUM,middle_earth,T040
woodelf,THRANDUIL_HALLS,middle_earth,T100
dolguldur,DOL_GULDUR,middle_earth,T246
dale,DALE_CITY,middle_earth,T087
durinsfolk,EREBOR,middle_earth,T075
lothlorien,CARAS_GALADHON,middle_earth,T237
dunland,WULFBURG,middle_earth,T320
isengard,ISENGARD,middle_earth,T315
fangorn,DERNDINGLE,middle_earth,T300
rohan,EDORAS,middle_earth,T348
gondor,MINAS_TIRITH,middle_earth,T388
mordor,BARAD_DUR,middle_earth,T378
dorwinion,DORWINION_COURT,middle_earth,T255
rhudel,RHUN_CAPITAL,middle_earth,T292
harad,UMBAR_CITY,middle_earth,T470
morwaith,GREAT_PLAINS_EAST,middle_earth,T516
taurethrim,JUNGLE_CITY_CAPITAL,middle_earth,T591
halftroll,SHADOW_POINT,middle_earth,T587
