# KOME gameplay defaults 1
tile,routeX,routeZ,arrivalX,arrivalY,arrivalZ,legacyOutside
T001,190006.85714285716,-85942.85714285714,190006.85714285716,80.0,-85942.85714285714,
T002,62336.0,-85632.0,62336.0,80.0,-85632.0,
T003,61696.0,-85248.0,61696.0,80.0,-85248.0,
T004,64896.0,-84736.0,64896.0,80.0,-84736.0,
T005,67200.0,-83968.0,67200.0,80.0,-83968.0,
T006,67072.0,-83840.0,67072.0,80.0,-83840.0,
T007,36864.0,-82560.0,36864.0,80.0,-82560.0,
T008,36992.0,-82432.0,36992.0,80.0,-82432.0,
T009,37120.0,-82304.0,37120.0,80.0,-82304.0,
T010,206272.0,-80768.0,206272.0,80.0,-80768.0,
T011,206208.0,-76928.0,206208.0,80.0,-76928.0,
T012,208640.0,-73984.0,208640.0,80.0,-73984.0,
T013,-7369.142857142855,-69668.57142857142,-7369.142857142855,80.0,-69668.57142857142,
T014,115072.0,-69056.0,115072.0,80.0,-69056.0,
T015,114944.0,-68800.0,114944.0,80.0,-68800.0,
T016,111488.0,-66432.0,111488.0,80.0,-66432.0,
T017,105600.0,-65152.0,105600.0,80.0,-65152.0,
T018,107648.0,-64704.0,107648.0,80.0,-64704.0,
T019,107904.0,-64512.0,107904.0,80.0,-64512.0,
T020,-9600.0,-61696.0,-9600.0,80.0,-61696.0,
T021,-9984.0,-61568.0,-9984.0,80.0,-61568.0,
T022,153344.0,-59584.0,153344.0,80.0,-59584.0,
T023,161280.0,-56832.0,161280.0,80.0,-56832.0,
T024,-4564.144655772834,-47361.81730511653,-4564.144655772834,80.0,-47361.81730511653,
T025,24576.0,-45696.0,24576.0,80.0,-45696.0,
T026,24832.0,-45568.0,24832.0,80.0,-45568.0,
T027,238336.0,-43776.0,238336.0,80.0,-43776.0,
T028,239104.0,-42624.0,239104.0,80.0,-42624.0,
T029,241792.0,-39680.0,241792.0,80.0,-39680.0,
T030,-11853.18399999998,-34590.848,-11853.18399999998,80.0,-34590.848,
T031,248448.0,-33664.0,248448.0,80.0,-33664.0,
T032,248320.0,-33536.0,248320.0,80.0,-33536.0,
T033,-22581.12771084337,-32497.580722891566,-22581.12771084337,80.0,-32497.580722891566,
T034,4636.78468899522,-32183.63636363636,4636.78468899522,80.0,-32183.63636363636,
T035,-20324.78740157481,-30202.96062992126,-20324.78740157481,80.0,-30202.96062992126,
T036,-14463.480880648902,-29771.56894553882,-14463.480880648902,80.0,-29771.56894553882,
T037,11923.715317612063,-29296.526874867217,11923.715317612063,80.0,-29296.526874867217,
T039,-41676.8,-26498.32727272727,-41676.8,80.0,-26498.32727272727,
T040,25703.75371242303,-26431.907279971027,25703.75371242303,80.0,-26431.907279971027,
T041,-32129.412236710137,-26420.937479103974,-32129.412236710137,80.0,-26420.937479103974,
T042,-26611.912832929782,-25842.05326876513,-26611.912832929782,80.0,-25842.05326876513,IN_BOUNDS_GAP:
T043,-4235.707582454954,-25784.274736484193,-4235.707582454954,80.0,-25784.274736484193,
T044,242077.17309719586,-25767.090870756903,242077.17309719586,80.0,-25767.090870756903,
T046,10130.199710564397,-24803.1027496382,10130.199710564397,80.0,-24803.1027496382,
T047,-60420.20058273271,-24738.389817512652,-60420.20058273271,80.0,-24738.389817512652,
T048,21632.0,-24448.0,21632.0,80.0,-24448.0,
T049,195562.35328681604,-23975.885420492108,195562.35328681604,80.0,-23975.885420492108,
T050,-18039.901581722326,-23438.19268253715,-18039.901581722326,80.0,-23438.19268253715,
T051,19164.788321167885,-23123.094890510954,19164.788321167885,80.0,-23123.094890510954,
T052,1030.360624704219,-22682.108849976343,1030.360624704219,80.0,-22682.108849976343,
T053,214876.4527095743,-22511.700130756944,214876.4527095743,80.0,-22511.700130756944,
T054,86889.60183591506,-21918.953528399317,86889.60183591506,80.0,-21918.953528399317,
T055,57788.779874213826,-21793.408805031446,57788.779874213826,80.0,-21793.408805031446,
T056,102852.73458792991,-21696.456846203757,102852.73458792991,80.0,-21696.456846203757,
T057,37484.480280455755,-21225.058720420682,37484.480280455755,80.0,-21225.058720420682,
T058,111588.62915179797,-20583.826516607194,111588.62915179797,80.0,-20583.826516607194,
T059,119893.23524904213,-20365.265900383136,119893.23524904213,80.0,-20365.265900383136,
T060,180094.64731576724,-20040.846554882344,180094.64731576724,80.0,-20040.846554882344,
T061,55013.527614571096,-19529.400705052874,55013.527614571096,80.0,-19529.400705052874,
T062,76471.4043145442,-18759.408025980054,76471.4043145442,80.0,-18759.408025980054,RESOLVED:T074
T063,37364.10140845072,-18440.653521126762,37364.10140845072,80.0,-18440.653521126762,
T064,10249.202054029913,-18386.90421969189,10249.202054029913,80.0,-18386.90421969189,
T065,137102.79909599145,-18343.76876412514,137102.79909599145,80.0,-18343.76876412514,
T066,92557.35652173913,-17938.71936758893,92557.35652173913,80.0,-17938.71936758893,
T067,-8260.24990176817,-17756.089587426322,-8260.24990176817,80.0,-17756.089587426322,
T068,49357.12820512822,-17647.58974358975,49357.12820512822,80.0,-17647.58974358975,
T069,103163.72383073496,-17612.11581291759,103163.72383073496,80.0,-17612.11581291759,
T070,-24464.537467700255,-17547.245478036173,-24464.537467700255,80.0,-17547.245478036173,
T072,60246.86070038911,-17390.86692607004,60246.86070038911,80.0,-17390.86692607004,
T074,72861.11454102356,-16464.792851340375,72861.11454102356,80.0,-16464.792851340375,
T075,83594.97142857141,-16087.039999999994,83594.97142857141,80.0,-16087.039999999994,
T076,-35189.13748735,-15797.035709122458,-35189.13748735,80.0,-15797.035709122458,
T077,159102.92925430211,-15701.0707456979,159102.92925430211,80.0,-15701.0707456979,
T078,17970.484621155294,-15350.469617404364,17970.484621155294,80.0,-15350.469617404364,
T079,55163.150881776615,-15331.23971260614,55163.150881776615,80.0,-15331.23971260614,
T080,3221.9656194427953,-15269.671606401898,3221.9656194427953,80.0,-15269.671606401898,
T081,36565.71311194796,-15217.40773707634,36565.71311194796,80.0,-15217.40773707634,
T082,90178.75515695068,-15132.125560538116,90178.75515695068,80.0,-15132.125560538116,
T083,185945.6033979294,-15078.46456065835,185945.6033979294,80.0,-15078.46456065835,
T084,45568.0,-14976.0,45568.0,80.0,-14976.0,
T085,113856.17250673854,-14814.878706199466,113856.17250673854,80.0,-14814.878706199466,
T086,102243.2829015544,-14706.802072538863,102243.2829015544,80.0,-14706.802072538863,
T087,82932.82539682538,-14404.063492063491,82932.82539682538,80.0,-14404.063492063491,
T088,67473.49953603465,-13769.284256108876,67473.49953603465,80.0,-13769.284256108876,
T089,-25979.34545454546,-13510.593939393933,-25979.34545454546,80.0,-13510.593939393933,
T090,-2981.9424031777744,-13242.979145978155,-2981.9424031777744,80.0,-13242.979145978155,
T091,82943.22424242424,-13149.090909090912,82943.22424242424,80.0,-13149.090909090912,
T092,86316.27811158798,-12425.339055793986,86316.27811158798,80.0,-12425.339055793986,
T093,28797.890584898007,-12374.676212346341,28797.890584898007,80.0,-12374.676212346341,
T094,226664.77732336766,-12247.67395289804,226664.77732336766,80.0,-12247.67395289804,
T095,96816.70376258611,-12062.728139904604,96816.70376258611,80.0,-12062.728139904604,
T096,-23655.80099502488,-11791.920398009956,-23655.80099502488,80.0,-11791.920398009956,
T097,114532.05821205821,-11433.460291060284,114532.05821205821,80.0,-11433.460291060284,
T098,105903.66788766789,-11241.494505494498,105903.66788766789,80.0,-11241.494505494498,
T099,46800.645435244165,-10909.418259023354,46800.645435244165,80.0,-10909.418259023354,
T100,80631.7108433735,-10795.662650602404,80631.7108433735,80.0,-10795.662650602404,
T101,-17452.273972602736,-10028.411741682969,-17452.273972602736,80.0,-10028.411741682969,
T102,72623.32484929671,-9895.608841259207,72623.32484929671,80.0,-9895.608841259207,
T103,126105.26013634735,-9851.02451859825,126105.26013634735,80.0,-9851.02451859825,
T104,60744.748885586916,-9464.867756315012,60744.748885586916,80.0,-9464.867756315012,
T105,252114.77721638163,-9164.350101992779,252114.77721638163,80.0,-9164.350101992779,
T106,66040.31309041835,-9099.487179487172,66040.31309041835,80.0,-9099.487179487172,
T107,173094.59522878373,-8639.92491200626,173094.59522878373,80.0,-8639.92491200626,
T108,-21964.800000000003,-8046.933333333334,-21964.800000000003,80.0,-8046.933333333334,
T109,1206.8237869390723,-7903.404596862456,1206.8237869390723,80.0,-7903.404596862456,
T110,57300.88965915656,-7867.748122472563,57300.88965915656,80.0,-7867.748122472563,
T111,79412.70588235295,-7742.117647058825,79412.70588235295,80.0,-7742.117647058825,
T112,-8433.482825664294,-7666.685677252113,-8433.482825664294,80.0,-7666.685677252113,
T113,85139.52542372877,-7524.067796610165,85139.52542372877,80.0,-7524.067796610165,
T114,191516.7094459944,-7404.741331207653,191516.7094459944,80.0,-7404.741331207653,
T115,104461.64878373875,-7186.511162945681,104461.64878373875,80.0,-7186.511162945681,
T116,10842.083993424007,-7120.671947392024,10842.083993424007,80.0,-7120.671947392024,
T117,92628.56746968982,-6986.3290820343245,92628.56746968982,80.0,-6986.3290820343245,
T118,143707.63507169142,-6973.084633929699,143707.63507169142,80.0,-6973.084633929699,
T119,-30190.811301011505,-6962.330891756777,-30190.811301011505,80.0,-6962.330891756777,
T120,82983.20295202953,-6563.424354243543,82983.20295202953,80.0,-6563.424354243543,
T121,-40470.30036630037,-5505.4065934065875,-40470.30036630037,80.0,-5505.4065934065875,
T122,63815.26977687626,-5386.774847870183,63815.26977687626,80.0,-5386.774847870183,
T123,42094.38033519554,-5326.144357541896,42094.38033519554,80.0,-5326.144357541896,
T124,162810.32874640857,-5209.694843490099,162810.32874640857,80.0,-5209.694843490099,
T125,110769.837535014,-4537.315726290515,110769.837535014,80.0,-4537.315726290515,
T126,2126.3244353182818,-4440.574948665293,2126.3244353182818,80.0,-4440.574948665293,
T127,52579.72093023255,-4429.395348837206,52579.72093023255,80.0,-4429.395348837206,
T128,74848.61538461538,-4215.179487179485,74848.61538461538,80.0,-4215.179487179485,
T129,-92535.54716981133,-4018.716981132078,-92535.54716981133,80.0,-4018.716981132078,
T130,46634.581333333335,-3631.957333333339,46634.581333333335,80.0,-3631.957333333339,
T131,-216.8000000000029,-3313.600000000006,-216.8000000000029,80.0,-3313.600000000006,
T132,24176.957120169405,-3101.923133933291,24176.957120169405,80.0,-3101.923133933291,
T133,52610.04255319148,-3060.4255319148942,52610.04255319148,80.0,-3060.4255319148942,
T134,-1835.076923076922,-2840.61538461539,-1835.076923076922,80.0,-2840.61538461539,
T135,-4669.247311827945,-2696.946236559146,-4669.247311827945,80.0,-2696.946236559146,
T136,32992.23357664235,-2302.4428223844297,32992.23357664235,80.0,-2302.4428223844297,
T138,84800.0,-2176.0,84800.0,80.0,-2176.0,
T139,2654.6303501945513,-2111.7509727626457,2654.6303501945513,80.0,-2111.7509727626457,
T140,4311.7241379310435,-2003.8620689655218,4311.7241379310435,80.0,-2003.8620689655218,
T141,48322.33576642335,-1923.7372262773715,48322.33576642335,80.0,-1923.7372262773715,
T142,36796.04633204633,-1764.5714285714348,36796.04633204633,80.0,-1764.5714285714348,
T143,6627.005524861874,-1615.2044198895019,6627.005524861874,80.0,-1615.2044198895019,
T144,14792.164609053492,-1592.6255144033057,14792.164609053492,80.0,-1592.6255144033057,
T145,5685.894736842107,-1446.1754385964887,5685.894736842107,80.0,-1446.1754385964887,
T146,933.2815533980611,-1334.6796116504847,933.2815533980611,80.0,-1334.6796116504847,
T147,45667.55555555556,-1282.8444444444467,45667.55555555556,80.0,-1282.8444444444467,
T148,-3211.6363636363676,-1170.7012987013004,-3211.6363636363676,80.0,-1170.7012987013004,
T149,19210.936708860754,-956.1518987341842,19210.936708860754,80.0,-956.1518987341842,
T150,226.04255319149524,-531.0638297872356,226.04255319149524,80.0,-531.0638297872356,
T152,4305.142857142855,-323.4285714285652,4305.142857142855,80.0,-323.4285714285652,
T153,94407.27905531385,-193.11373523928341,94407.27905531385,80.0,-193.11373523928341,
T155,70794.06666666668,-114.66666666667152,70794.06666666668,80.0,-114.66666666667152,
T156,211887.39534291893,-81.21542180939286,211887.39534291893,80.0,-81.21542180939286,
T157,15140.571428571435,64.0,15140.571428571435,80.0,64.0,
T158,1463.5471698113106,183.54716981132515,1463.5471698113106,80.0,183.54716981132515,
T159,79818.54457162679,219.2826916406484,79818.54457162679,80.0,219.2826916406484,
T160,-431.86086956522195,225.94782608695095,-431.86086956522195,80.0,225.94782608695095,
T161,-37262.66518353726,314.37597330367134,-37262.66518353726,80.0,314.37597330367134,
T162,103801.86522522525,320.6688288288278,103801.86522522525,80.0,320.6688288288278,
T163,133875.15666642657,336.25009003817104,133875.15666642657,80.0,336.25009003817104,
T164,12585.3164556962,503.08860759493837,12585.3164556962,80.0,503.08860759493837,
T165,119082.87586360596,505.72409182081174,119082.87586360596,80.0,505.72409182081174,
T166,6121.739130434784,641.3913043478242,6121.739130434784,80.0,641.3913043478242,
T167,2760.0842105263146,685.1368421052612,2760.0842105263146,80.0,685.1368421052612,
T168,-15555.197715917195,702.9493219129217,-15555.197715917195,80.0,702.9493219129217,IN_BOUNDS_GAP:
T169,4466.059405940599,846.5742574257456,4466.059405940599,80.0,846.5742574257456,
T170,7981.948717948719,918.3179487179441,7981.948717948719,80.0,918.3179487179441,
T171,17267.70196078431,1062.3999999999942,17267.70196078431,80.0,1062.3999999999942,
T172,152960.43794712287,1275.2356661482627,152960.43794712287,80.0,1275.2356661482627,
T173,15129.328621908135,1675.7597173144895,15129.328621908135,80.0,1675.7597173144895,
T174,58165.35300627074,1853.1907045370754,58165.35300627074,80.0,1853.1907045370754,
T175,624.2730375426618,1853.5972696245735,624.2730375426618,80.0,1853.5972696245735,
T176,-7963.028446389493,1862.5820568927738,-7963.028446389493,80.0,1862.5820568927738,
T177,5980.444444444438,1896.296296296292,5980.444444444438,80.0,1896.296296296292,
T178,5060.0,1984.0,5060.0,80.0,1984.0,
T179,-2443.5936352509016,2018.7025703794352,-2443.5936352509016,80.0,2018.7025703794352,
T180,-5021.030927835047,2082.3092783505126,-5021.030927835047,80.0,2082.3092783505126,
T181,-12133.691973969631,2094.7158351410035,-12133.691973969631,80.0,2094.7158351410035,
T182,3804.245810055887,2700.871508379889,3804.245810055887,80.0,2700.871508379889,
T183,8703.264367816097,2877.057471264372,8703.264367816097,80.0,2877.057471264372,
T184,180441.66096945922,3041.751975343228,180441.66096945922,80.0,3041.751975343228,
T185,38065.762993763,3507.3153153153107,38065.762993763,80.0,3507.3153153153107,
T186,11733.408716136633,3891.8633686690155,11733.408716136633,80.0,3891.8633686690155,
T187,19005.588697017258,4738.1098901098885,19005.588697017258,80.0,4738.1098901098885,
T188,44064.7225054625,4903.4969652828295,44064.7225054625,80.0,4903.4969652828295,
T189,1779.504761904769,5443.199999999997,1779.504761904769,80.0,5443.199999999997,
T190,71384.19627549511,5461.169376293226,71384.19627549511,80.0,5461.169376293226,
T191,240614.65552627144,5659.390119441479,240614.65552627144,80.0,5659.390119441479,
T192,164414.75361050328,5665.526477024076,164414.75361050328,80.0,5665.526477024076,
T193,93229.35825545172,6016.859813084113,93229.35825545172,80.0,6016.859813084113,
T194,79264.8009535161,6409.5733015494625,79264.8009535161,80.0,6409.5733015494625,
T195,106855.82504970179,6647.9840954274405,106855.82504970179,80.0,6647.9840954274405,
