tile_id,default_ruling_faction,waypoint_level,map_region,source,balance_weight,reason,questionable
T001,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 814.1px away.,NO
T002,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T055 is 500.0px away.,NO
T003,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T055 is 496.7px away.,NO
T004,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T055 is 494.9px away.,NO
T005,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T055 is 491.3px away.,NO
T006,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T055 is 490.1px away.,NO
T007,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T024 is 424.7px away.,NO
T008,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T024 is 424.8px away.,NO
T009,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T024 is 424.9px away.,NO
T010,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 887.0px away.,NO
T011,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 869.5px away.,NO
T012,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 872.9px away.,NO
T013,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T024 is 175.6px away.,NO
T014,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 423.9px away.,NO
T015,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T085 is 421.8px away.,NO
T016,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T054 is 397.3px away.,NO
T017,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T054 is 368.0px away.,NO
T018,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T054 is 371.5px away.,NO
T019,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T054 is 371.1px away.,NO
T020,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T024 is 118.7px away.,NO
T021,,0,,UNCLAIMED,0,Unclaimed wilderness/buffer; nearest faction anchor T024 is 118.8px away.,NO
