# KOME gameplay defaults 1
from,to,type
T030,T033,open
T030,T034,open
T030,T036,open
T031,T044,open
T032,T044,open
T033,T041,open
T034,T036,open
T034,T037,open
T034,T043,open
T035,T036,river
T035,T042,open
T036,T043,open
T036,T050,river
T037,T040,open
T037,T043,open
T037,T046,open
T037,T051,open
T037,T052,open
T040,T048,open
T040,T051,open
T040,T057,open
T040,T081,open
T041,T042,river
T041,T076,river
T042,T070,river
T043,T050,river
T043,T052,open
T043,T067,open
T044,T053,open
T044,T094,open
T044,T105,open
T046,T051,open
T046,T052,open
T046,T064,open
T048,T051,open
T049,T060,river
T049,T083,open
T049,T114,river
T050,T067,river
T050,T101,river
T051,T064,open
T051,T078,open
T051,T081,open
T051,T093,open
T052,T064,open
T052,T067,open
T052,T080,open
T053,T094,open
T053,T156,river
T054,T056,open
T054,T066,open
T055,T061,bridge
T055,T072,river
T056,T058,open
T056,T066,open
T056,T069,open
T057,T063,open
T057,T068,open
T057,T081,open
T058,T059,open
T058,T069,open
T058,T085,open
T059,T065,open
T059,T085,open
T059,T097,open
T059,T103,open
T060,T077,open
T060,T083,river
T060,T107,open
T061,T072,bridge
T061,T079,river
T062,T066,open
T062,T072,river
T062,T074,open
T062,T075,open
T062,T082,open
T062,T087,river
T062,T091,open
T062,T100,river
T063,T081,open
T064,T078,open
T064,T080,open
T064,T116,open
T065,T077,open
T065,T103,open
T065,T118,open
T066,T069,open
T066,T082,open
T066,T086,open
T067,T080,open
T067,T090,open
T067,T101,river
T067,T112,river
T068,T079,open
T069,T086,open
T070,T089,open
T070,T096,river
T072,T079,river
T072,T088,open
T072,T104,open
T074,T088,river
T074,T100,river
T075,T082,open
T075,T087,open
T075,T092,open
T076,T119,river
T076,T121,open
T077,T124,open
T078,T093,open
T078,T116,open
T078,T132,open
T079,T104,river
T079,T110,river
T080,T090,open
T080,T109,river
T080,T116,open
T081,T084,open
T081,T093,open
T081,T099,river
T082,T086,open
T082,T092,open
T082,T095,open
T082,T117,open
T083,T107,river
T083,T114,river
T083,T184,river
T085,T086,open
T085,T097,open
T085,T098,open
T086,T095,open
T086,T098,open
T086,T115,open
T087,T091,open
T087,T092,bridge
T088,T100,bridge
T088,T102,open
T088,T104,open
T088,T106,open
T089,T096,river
T090,T109,open
T090,T112,open
T090,T135,open
T091,T092,river
T091,T100,river
T092,T100,river
T092,T113,open
T092,T117,open
T093,T123,river
T093,T132,open
T093,T136,open
T094,T105,open
T094,T156,river
T094,T191,river
T095,T115,open
T095,T117,open
T096,T101,open
T096,T108,open
T097,T098,open
T097,T103,open
T097,T125,open
T098,T115,river
T099,T123,open
T099,T130,open
T100,T102,open
T100,T111,open
T100,T113,river
T100,T120,river
T101,T112,river
T101,T119,open
T101,T168,bridge
T102,T106,open
T103,T118,open
T103,T125,open
T103,T163,open
T103,T165,open
T104,T106,open
T104,T110,river
T104,T122,open
T104,T197,open
T105,T191,river
T105,T227,river
T106,T122,open
T106,T128,open
T107,T124,open
T107,T184,river
T109,T116,bridge
T109,T126,open
T109,T131,open
T109,T134,open
T109,T135,open
T110,T174,open
T111,T128,open
T112,T135,open
