# KOME gameplay defaults 1
from,to,type,x,y,z,mapX,mapY
T055,T061,bridge,57088.0,80.0,-19968.0,1256,574
T061,T072,bridge,56960.0,80.0,-17408.0,1255,594
T087,T092,bridge,84224.0,80.0,-14464.0,1468,617
T088,T100,bridge,75008.0,80.0,-10112.0,1396,651
T101,T168,bridge,-15744.0,80.0,-3072.0,687,706
T109,T116,bridge,6784.0,80.0,-9344.0,863,657
T115,T125,bridge,108160.0,80.0,-4864.0,1655,692
T117,T128,bridge,85504.0,80.0,-4352.0,1478,696
T119,T161,bridge,-35712.0,80.0,-1792.0,531,716
T130,T141,bridge,50176.0,80.0,-3328.0,1202,704
T131,T134,bridge,-768.0,80.0,-2816.0,804,708
T136,T142,bridge,35328.0,80.0,-2048.0,1086,714
T139,T167,bridge,2688.0,80.0,-640.0,831,725
T140,T152,bridge,4224.0,80.0,-768.0,843,724
T145,T152,bridge,5376.0,80.0,-384.0,852,727
T146,T150,bridge,1024.0,80.0,-512.0,818,726
T162,T195,bridge,108544.0,80.0,5504.0,1658,773
T169,T178,bridge,5120.0,80.0,1280.0,850,740
T174,T197,bridge,60928.0,80.0,-3456.0,1286,703
T196,T203,bridge,9600.0,80.0,9216.0,885,802
T199,T213,bridge,143872.0,80.0,10496.0,1934,812
T208,T217,bridge,25856.0,80.0,14976.0,1012,847
T229,T268,bridge,22016.0,80.0,19328.0,982,881
T244,T262,bridge,143360.0,80.0,24448.0,1930,921
T256,T284,bridge,10240.0,80.0,30336.0,890,967
T259,T278,bridge,152960.0,80.0,28416.0,2005,952
T275,T296,bridge,124032.0,80.0,32896.0,1779,987
T282,T292,bridge,135552.0,80.0,32640.0,1869,985
T282,T292,bridge,135808.0,80.0,34304.0,1871,998
T307,T324,bridge,55168.0,80.0,47872.0,1241,1104
T321,T323,bridge,37760.0,80.0,45824.0,1105,1088
T322,T329,bridge,130560.0,80.0,48768.0,1830,1111
T329,T338,bridge,131200.0,80.0,49408.0,1835,1116
T342,T348,bridge,47872.0,80.0,52736.0,1184,1142
T342,T348,bridge,49792.0,80.0,52736.0,1199,1142
T358,T370,bridge,79232.0,80.0,60672.0,1429,1204
T358,T375,bridge,81664.0,80.0,57856.0,1448,1182
T359,T366,bridge,62720.0,80.0,60544.0,1300,1203
T370,T379,bridge,78848.0,80.0,61696.0,1426,1212
T375,T381,bridge,82560.0,80.0,64768.0,1455,1236
T375,T402,bridge,82048.0,80.0,65536.0,1451,1242
T384,T386,bridge,79488.0,80.0,66176.0,1431,1247
