# KOME gameplay defaults 1
tile,priority,waypoint
T024,0,CAPE_OF_FOROCHEL
T034,0,SOUTH_FOROCHEL
T035,0,ARVEDUI_MINES
T039,0,HIMLING
T040,0,CARN_DUM
T042,0,MOUNT_RERIR
T047,0,TOL_FUIN
T054,0,WITHERED_HEATH
T055,0,DAINS_HALLS
T061,0,FRAMSBURG
T062,0,SCATHA
T063,0,MOUNT_GRAM
T068,0,MOUNT_GUNDABAD
T070,0,BELEGOST
T075,0,EREBOR
T076,0,FORLINDON
T078,0,NORTH_DOWNS
T085,0,EAST_PEAK
T086,0,WEST_PEAK
T087,0,DALE_CITY
T089,0,MOUNT_DOLMED
T091,0,LONG_LAKE
T096,0,NOGROD
T100,0,THRANDUIL_HALLS
T101,0,MITHLOND_NORTH
T102,0,ENCHANTED_RIVER
T104,0,CARROCK
T106,0,FOREST_GATE
T108,0,THORIN_HALLS
T109,0,ANNUMINAS
T110,0,EAGLES_EYRIE
T111,0,MIRKWOOD_MOUNTAINS
T115,0,REDWATER_FORD
T116,0,FORNOST
T117,0,DALE_CROSSROADS
T121,0,AMON_EREB
T122,0,BEORN
T123,0,THE_TROLLSHAWS
T126,0,OATBARTON
T127,0,GOBLIN_TOWN
T128,0,RIVER_GATE
T129,0,TOL_MORWEN
T131,0,NEEDLEHOLE
T132,0,WEATHERTOP
T133,0,HIGH_PASS
T134,0,NOBOTTLE
T135,0,TIGHFIELD
T139,0,BROCKENBORINGS
T140,0,SCARY
T141,0,RIVENDELL
T142,0,LAST_BRIDGE
T143,0,HAY_GATE
T144,0,ARCHET
T145,0,BRANDYWINE_BRIDGE
T146,0,OVERHILL
T147,0,FORD_BRUINEN
T148,0,LITTLE_DELVING
T150,0,HOBBITON
T152,0,WHITFURROWS
T153,0,RUNNING_FORD
T157,0,COMBE
T158,0,BYWATER
T160,0,WAYMEET
T161,0,FORLOND
T162,0,DALE_PORT
T164,0,BREE
T166,0,BUCKLEBURY
T167,0,FROGMORTON
T168,0,MITHLOND_SOUTH
T169,0,STOCK
T170,0,WITHYWINDLE_VALLEY
T171,0,FORSAKEN_INN
T173,0,STADDLE
T175,0,TUCKBOROUGH
T177,0,HAYSEND
T178,0,DEEPHALLOW
