row,waypoint_number,default_waypoint_name,waypoint_id_suggestion,level,map_region,current_ruling_faction,current_ruling_player,default_factions_present,capital_faction,default_ruler_player,new_waypoint_name,conquest_achieved
2,228,Cape of Forochel,cape_of_forochel,1,FORODWAITH,ANGMAR,,ANGMAR,,,,
3,117,Carn Dûm,carn_d_m,2,ANGMAR (MOUNTIANS),ANGMAR,,ANGMAR,,,,
4,269,Dáin's Halls,d_in_s_halls,1,GREY_MOUNTAINS,ANGMAR,Neutral Zone,"ANGMAR, GUNDABAD",,,,
5,199,Scatha's Lair,scatha_s_lair,1,GREY_MOUNTAINS,ANGMAR,Neutral Zone,"ANGMAR, GUNDABAD",,,,
6,254,South Forochel,south_forochel,1,FORODWAITH,ANGMAR,,ANGMAR,,,,
7,8,Withered Heath,withered_heath,1,FORODWAITH,ANGMAR,Neutral Zone,ANGMAR,,,,
8,1,Arvedui's Mines,arvedui_s_mines,2,BLUE_MOUNTAINS,BLUE_MOUNTAINS,,BLUE_MOUNTAINS,,,,
9,177,Belegost,belegost,2,BLUE_MOUNTAINS,BLUE_MOUNTAINS,,BLUE_MOUNTAINS,,,,
10,281,Mount Dolmed,mount_dolmed,2,BLUE_MOUNTAINS,BLUE_MOUNTAINS,,BLUE_MOUNTAINS,,,,
11,39,Mount Rerir,mount_rerir,2,BLUE_MOUNTAINS,BLUE_MOUNTAINS,,BLUE_MOUNTAINS,,,,
12,209,Nogrod,nogrod,2,BLUE_MOUNTAINS,BLUE_MOUNTAINS,,BLUE_MOUNTAINS,,,,
13,122,Thorin's Halls,thorin_s_halls,2,BLUE_MOUNTAINS,BLUE_MOUNTAINS,,BLUE_MOUNTAINS,,,,
14,239,Thráin's Halls,thr_in_s_halls,2,BLUE_MOUNTAINS,BLUE_MOUNTAINS,Neutral Zone,BLUE_MOUNTAINS,,,,
15,103,Archet,archet,2,BREE_LAND,BREE,,BREE,,,,
16,123,Bree,bree,3,BREE_LAND,BREE,,BREE,,,,
17,59,Combe,combe,2,BREE_LAND,BREE,,BREE,,,,
18,79,Forsaken Inn,forsaken_inn,2,BREE_LAND,BREE,Neutral Zone,BREE,,,,
19,172,Staddle,staddle,2,BREE_LAND,BREE,,BREE,,,,
20,71,Bardhaven,bardhaven,2,DALE,DALE,Neutral Zone,DALE,,,,
21,208,Dale,dale,3,DALE,DALE,Neutral Zone,DALE,,,,
22,106,Great Dalish Crossroads,great_dalish_crossroads,2,DALE,DALE,Neutral Zone,DALE,,,,
23,26,Long Lake,long_lake,2,DALE,DALE,Neutral Zone,DALE,,,,
24,118,Redwater Ford,redwater_ford,2,DALE,DALE,Neutral Zone,DALE,,,,
25,206,Running Ford,running_ford,2,DALE,DALE,Neutral Zone,DALE,,,,
26,220,Dol Guldur (Captial),dol_guldur_captial,3,MIRKWOOD (DOL_GULDUR),DOL_GULDUR,Neutral Zone,DOL_GULDUR,,TheEpicRat,,
27,89,East Bight,east_bight,1,EAST_BIGHT,DOL_GULDUR,Neutral Zone,"DOL_GULDUR, GUNDABAD, MORDOR",,TheEpicRat,,
28,120,Mountains of Mirkwood,mountains_of_mirkwood,1,MIRKWOOD (MOUNTIANS),DOL_GULDUR,Neutral Zone,DOL_GULDUR,,TheEpicRat,,
29,16,Rhosgobel,rhosgobel,2,MIRKWOOD,DOL_GULDUR,Neutral Zone,DOL_GULDUR,,TheEpicRat,,
30,158,Amon Gwîn,amon_gw_n,2,DORWINION,DORWINION,Neutral Zone,DORWINION,,,,
31,3,Dorwinion Crossroads,dorwinion_crossroads,1,WILDERLAND,DORWINION,Neutral Zone,"GUNDABAD, MORDOR, DOL_GULDUR",,Neutral Zone,should this be DG?,
32,189,Golden Ford,golden_ford,2,DORWINION,DORWINION,Neutral Zone,DORWINION,,,,
33,129,Mirulond,mirulond,2,DORWINION,DORWINION,Neutral Zone,DORWINION,,,,
34,6,Vintner Court,vintner_court,2,DORWINION,DORWINION,Neutral Zone,DORWINION,,,,
35,162,Annúminas,ann_minas,1,ERIADOR (DOWNS),DUNEDAIN,_Dayne_,"DUNEDAIN, GUNDABAD",,Neutral Zone,,
36,253,Fornost,fornost,1,ERIADOR,DUNEDAIN,_Dayne_,"DUNEDAIN, GUNDABAD",,Neutral Zone,,
37,69,Last Bridge,last_bridge,1,LONE_LANDS,DUNEDAIN,_Dayne_,"DUNEDAIN, GUNDABAD, ANGMAR (RHUDAUR)",,_Dayne_,,
38,33,Old Elven Way,old_elven_way,1,LONE_LANDS,DUNEDAIN,_Dayne_,"DUNEDAIN, GUNDABAD, ANGMAR (RHUDAUR)",,_Dayne_,,
39,52,Weathertop,weathertop,2,LONE_LANDS,DUNEDAIN,_Dayne_,"DUNEDAIN, GUNDABAD, ANGMAR (RHUDAUR)",,_Dayne_,,
40,63,Corsair's Landing,corsair_s_landing,2,WEST_MARCH,DUNLAND,,"DUNLAND, ISENGARD",,,,
41,43,Duneard,duneard,3,DUNLAND,DUNLAND,Neutral Zone,"DUNLAND, ISENGARD",,,,
42,163,Dwarrowvale,dwarrowvale,3,DUNLAND,DUNLAND,Neutral Zone,"DUNLAND, ISENGARD",,,,
43,48,Firwold,firwold,3,DUNLAND,DUNLAND,Neutral Zone,"DUNLAND, ISENGARD",,,,
44,29,Fords of Isen,fords_of_isen,3,DUNLAND,DUNLAND,,"DUNLAND, ISENGARD",,,,
45,131,Freca's Hold,freca_s_hold,2,WEST_MARCH,DUNLAND,Neutral Zone,"DUNLAND, ISENGARD",,,,
46,279,Lond Daer,lond_daer,2,ENEDWAITH,DUNLAND,,DUNLAND,,,,
47,229,Mouths of Isen,mouths_of_isen,2,ENEDWAITH,DUNLAND,,DUNLAND,,,,
48,78,Old South Road,old_south_road,2,ENEDWAITH,DUNLAND,,DUNLAND,,,,
49,167,Wulfburg,wulfburg,3,DUNLAND,DUNLAND,Neutral Zone,"DUNLAND, ISENGARD",,,,
50,214,East Peak,east_peak,2,IRON_HILLS,DURINS_FOLK,Cardeh,DURINS_FOLK,,Cardeh,,
51,45,Erebor,erebor,3,DALE (EREBOR),DURINS_FOLK,Cardeh,DURINS_FOLK,,Cardeh,,
52,40,West Peak,west_peak,2,IRON_HILLS,DURINS_FOLK,Cardeh,DURINS_FOLK,,Cardeh,,
53,139,Derndingle,derndingle,2,FANGORN,FANGORN,Neutral Zone,FANGORN,,,,
54,61,Treebeard's Hill,treebeard_s_hill,1,FANGORN,FANGORN,Neutral Zone,FANGORN,,,,
55,198,Wellinghall,wellinghall,1,FANGORN,FANGORN,Neutral Zone,FANGORN,,,,
56,136,Amon Dîn,amon_d_n,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR","If mulitple kinds of troops spawn, we probably need to insert another row with the same info, just the different faction.",Killstreak7634,,
57,95,Cair Andros,cair_andros,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
58,194,Calembel,calembel,2,LAMEDON,GONDOR,Killstreak7634,GONDOR (LAMEDON),,Killstreak7634,,
59,259,Calenhad,calenhad,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
60,276,Crossings of Erui,crossings_of_erui,2,LOSSARNACH,GONDOR,Killstreak7634,GONDOR (LOSSARNACH),,,,
61,256,Crossings of Poros,crossings_of_poros,2,ITHILIEN,GONDOR,Killstreak7634,"GONDOR (ITHILIEN), MORDOR",,Killstreak7634,,
62,262,Crossroads of the Fallen King,crossroads_of_the_fallen_king,2,ITHILIEN,GONDOR,Killstreak7634,"GONDOR (ITHILIEN), MORDOR",,Killstreak7634,,
63,142,Dol Amroth,dol_amroth,2,DOR_EN_ERNIL,GONDOR,Killstreak7634,"GONDOR (DOL_AMROTH), MORDOR",,Killstreak7634,,
64,66,East Osgiliath,east_osgiliath,2,ITHILIEN,GONDOR,Killstreak7634,"GONDOR (ITHILIEN), MORDOR",,Killstreak7634,,
65,100,Edhellond,edhellond,2,DOR_EN_ERNIL,GONDOR,Killstreak7634,"GONDOR (DOL_AMROTH), MORDOR",,Killstreak7634,,
66,244,Eilenach,eilenach,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
67,251,Emyn Arnen,emyn_arnen,2,ITHILIEN (HILLS),GONDOR,Killstreak7634,"GONDOR (ITHILIEN), MORDOR",,Killstreak7634,,
68,170,Erech,erech,2,BLACKROOT_VALE,GONDOR,Killstreak7634,GONDOR (BLACKROOT_VALE),,Killstreak7634,,
69,133,Erelas,erelas,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
70,5,Ethir Anduin,ethir_anduin,1,LEBENNIN,GONDOR,Killstreak7634,GONDOR (LEBENNIN),,Killstreak7634,,
71,222,Ethring,ethring,2,LAMEDON,GONDOR,Killstreak7634,GONDOR (LAMEDON),,Killstreak7634,,
72,218,Halifirien,halifirien,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
73,20,Henneth Annûn,henneth_ann_n,2,ITHILIEN,GONDOR,Killstreak7634,"GONDOR (ITHILIEN), MORDOR",,Killstreak7634,,
74,156,Imloth Melui,imloth_melui,2,LOSSARNACH,GONDOR,Killstreak7634,GONDOR (LOSSARNACH),,,,
75,9,Linhir,linhir,2,LEBENNIN,GONDOR,Killstreak7634,GONDOR (LEBENNIN),,Killstreak7634,,
76,84,Min-Rimmon,min_rimmon,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
77,245,Minas Tirith (Captial),minas_tirith_captial,3,GONDOR (PERENNOR_FIELDS),GONDOR,Killstreak7634,GONDOR (ARNÓRIEN),,Killstreak7634,,
78,268,Nardol,nardol,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
79,7,North Ithilien,north_ithilien,2,ITHILIEN,GONDOR,Killstreak7634,"GONDOR (ITHILIEN), MORDOR",,M3atyman,,
80,37,Pelargir,pelargir,2,LEBENNIN,GONDOR,Killstreak7634,GONDOR (LEBENNIN),,Killstreak7634,,
81,258,Pinnath Gelin,pinnath_gelin,2,PINNATH_GELIN,GONDOR,Killstreak7634,GONDOR (PINNATH_GELIN),,Killstreak7634,,
82,24,Ras Morthil,ras_morthil,1,WHITE_MOUNTAINS,GONDOR,Killstreak7634,GONDOR (ARNÓRIEN),,Killstreak7634,,
83,46,Tarlang's Neck,tarlang_s_neck,1,WHITE_MOUNTAINS,GONDOR,Killstreak7634,GONDOR (ARNÓRIEN),,Killstreak7634,,
84,25,Tarnost,tarnost,2,DOR_EN_ERNIL,GONDOR,Killstreak7634,"GONDOR (DOL_AMROTH), MORDOR",,Killstreak7634,,
85,113,West Osgiliath,west_osgiliath,1,GONDOR (ANÓRIEN),GONDOR,Killstreak7634,"GONDOR (ARNÓRIEN), MORDOR",,Killstreak7634,,
86,271,Eagles' Eyrie,eagles_eyrie,1,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
87,270,Goblin Town,goblin_town,2,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
88,128,High Pass,high_pass,2,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
89,227,Mount Caradhras,mount_caradhras,1,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
90,109,Mount Celebdil,mount_celebdil,1,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
91,137,Mount Fanuidhol,mount_fanuidhol,1,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
92,28,Mount Gram,mount_gram,2,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
93,77,Mount Gundabad,mount_gundabad,2,MISTY_MOUNTAINS,GUNDABAD,Neutral Zone,GUNDABAD,,,,
94,183,Mount Methedras,mount_methedras,1,MISTY_MOUNTAINS,GUNDABAD,,GUNDABAD,,,,
95,240,Ost-in-Edhil,ost_in_edhil,1,EREGION,GUNDABAD,Neutral Zone,GUNDABAD,,,,
96,213,River Gate,river_gate,1,WILDERLAND,GUNDABAD,Neutral Zone,GUNDABAD,,Neutral Zone,Should this be WR??,
97,159,West Gate,west_gate,1,EREGION,GUNDABAD,Neutral Zone,GUNDABAD,,,,
98,207,Durfalas,durfalas,3,PERTOROGWAITH,HALF_TROLL,,HALF_TROLL,,,,
99,96,Hardorogost,hardorogost,3,PERTOROGWAITH,HALF_TROLL,Neutral Zone,HALF_TROLL,,,Delfim Enduruil,
100,237,Kimen Kâh,kimen_k_h,1,PERTOROGWAITH_FOREST,HALF_TROLL,,HALF_TROLL,,,,
101,91,Sereghir,sereghir,3,PERTOROGWAITH,HALF_TROLL,Neutral Zone,HALF_TROLL,,,,
102,121,Tol Torog,tol_torog,3,PERTOROGWAITH,HALF_TROLL,Neutral Zone,HALF_TROLL,,,Delfim Nunduil,
103,72,Ain an-Ahâr,ain_an_ah_r,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),NOTES:,Bweezly,,
104,90,Ajtiaz an-Ahâr,ajtiaz_an_ah_r,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
105,187,An-batîna,an_bat_na,2,HARNEDOR,HARAD,Bweezly,NEAR_HARAD (HARNENNOR),,Bweezly,,
106,241,Anât an-Khôrumor,an_t_an_kh_rumor,3,UMBAR,HARAD,Bweezly,NEAR_HARAD (UMBAR),,Bweezly,,
107,204,Anât an-Phôinûr,an_t_an_ph_in_r,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
108,130,Arminazûl,arminaz_l,3,GULF_HARAD,HARAD,Bweezly,NEAR_HARAD (GULFINGS),,Bweezly,,
109,215,Ayûkaph-amâm,ay_kaph_am_m,1,HARAD_DESERT (HALF),HARAD,Bweezly,NEAR_HARAD (HARAD_NOMADS),,Bweezly,,
110,92,Bakrîzad,bakr_zad,3,GULF_HARAD,HARAD,Bweezly,NEAR_HARAD (GULFINGS),,Bweezly,,
111,217,Bêlkadar,b_lkadar,2,HARNEDOR,HARAD,Bweezly,NEAR_HARAD (HARNENNOR),,Bweezly,,
112,11,Bridge of Harlanhir,bridge_of_harlanhir,3,GULF_HARAD,HARAD,Bweezly,NEAR_HARAD (GULFINGS),,Bweezly,,
113,116,Cedar-woods,cedar_woods,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
114,176,Crossings of Harnen,crossings_of_harnen,1,HARONDOR,HARAD,Bweezly,NEAR_HARAD (HARNENNOR),,Bweezly,,
115,82,Crossings of Lithnen,crossings_of_lithnen,2,HARNEDOR,HARAD,Bweezly,NEAR_HARAD (HARNENNOR),,Bweezly,,
116,35,Emerald Lakes,emerald_lakes,1,FAR_HARAD_JUNGLE,TAURETHRIM,Neutral Zone,TAURETHRIM,,,,
117,165,Ephalôn,ephal_n,3,GULF_HARAD,HARAD,Bweezly,NEAR_HARAD (GULFINGS),,Bweezly,,
118,12,Gardens of Barûphel,gardens_of_bar_phel,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
119,196,Gate of Umbar,gate_of_umbar,3,UMBAR,HARAD,Bweezly,NEAR_HARAD (UMBAR),,Bweezly,,
120,13,Gâth-azrazâin,g_th_azraz_in,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
121,175,Ijdi-ilel,ijdi_ilel,1,HARAD_DESERT (HALF),HARAD,Bweezly,NEAR_HARAD (HARAD_NOMADS),,Bweezly,,
122,185,Izêm-ulzuz,iz_m_ulzuz,1,HARAD_DESERT (HALF),HARAD,Bweezly,NEAR_HARAD (HARAD_NOMADS),,Bweezly,,
123,173,Khôpakadar,kh_pakadar,3,GULF_HARAD,HARAD,Bweezly,NEAR_HARAD (GULFINGS),,Bweezly,,
124,230,Lîpha-tûn,l_pha_t_n,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
125,184,Ninzadîn,ninzad_n,2,HARNEDOR,HARAD,Bweezly,NEAR_HARAD (HARNENNOR),,Bweezly,,
126,233,Nurêmin,nur_min,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
127,85,Tawînen,taw_nen,2,SOUTHRON_COASTS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
128,179,Tolfalas,tolfalas,2,TOLFALAS,HARAD,Bweezly,NEAR_HARAD (COAST_SOUTHRONS),,Bweezly,,
129,186,Topaz Bay,topaz_bay,2,GULF_HARAD,HARAD,Bweezly,NEAR_HARAD (GULFINGS),,Bweezly,,
130,10,Ugrî-zadîn,ugr_zad_n,2,HARNEDOR,HARAD,Bweezly,NEAR_HARAD (HARNENNOR),,Bweezly,,
131,153,Umbar,umbar,3,UMBAR,HARAD,Bweezly,NEAR_HARAD (UMBAR),,Bweezly,,
132,249,Yaphurushi,yaphurushi,3,GULF_HARAD,HARAD,Bweezly,NEAR_HARAD (GULFINGS),,Bweezly,,
133,65,Amon Ereb,amon_ereb,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
134,195,Elostirion,elostirion,3,LINDON,HIGH_ELVES,AlcoholicCat,HIGH_ELF (LINDON),,AlcoholicCat,,
135,14,Ford of Bruinen,ford_of_bruinen,3,RIVENDELL_VALE,HIGH_ELVES,AlcoholicCat,HIGH_ELF (RIVENDELL),,AlcoholicCat,,
